COU,Country,decade,avginfmort,avmatmort,avginfmort_std,avmatmort_std,clust2
AUS,Australia,2010,3.433333333333333,3.6222222222222222,-0.22331259459929467,-0.5054365711115579,2
AUT,Austria,2010,3.177777777777778,3.8777777777777778,-0.333311827151248,-0.46872026744534034,2
BEL,Belgium,2010,3.4571428571428573,4.728571428571429,-0.21306421889569635,-0.34648462294165955,2
CAN,Canada,2010,4.733333333333333,6.3999999999999995,0.3362487188171649,-0.10634631387006276,2
CHE,Switzerland,2010,3.75,4.8875,-0.08700919774143907,-0.32365095893805684,2
CHL,Chile,2010,7.144444444444445,14.977777777777778,1.3740675650682053,1.1260444004916748,3
CZE,Czech Republic,2010,2.6125,6.5,-0.5766253469808412,-0.09197906460936885,2
DEU,Germany,2010,3.3333333333333335,3.8777777777777778,-0.2663557725544068,-0.46872026744534034,2
DNK,Denmark,2010,3.566666666666667,2.2666666666666666,-0.1659216906591448,-0.7001926166454077,2
ESP,Spain,2010,2.8555555555555556,3.1222222222222222,-0.47200651167327656,-0.577272817415027,2
EST,Estonia,2010,2.5444444444444443,5.411111111111111,-0.6059186208669592,-0.24842244544803493,2
FIN,Finland,2010,2.088888888888889,4.0777777777777775,-0.8020042093291372,-0.43998576892395275,2
FRA,France,2010,3.533333333333333,9.1,-0.18026941664418236,0.28156941616867065,2
GBR,United Kingdom,2010,3.975,6.0875,0.00983795265756356,-0.15124396780973084,2
GRC,Greece,2010,3.65,4.6875,-0.13005237569655137,-0.3523854574594445,2
HUN,Hungary,2010,4.388888888888889,11.066666666666666,0.18798888363844501,0.5641253182956493,2
IRL,Ireland,2010,3.311111111111111,2.4333333333333336,-0.27592092321109857,-0.6762472012109179,2
ISL,Iceland,2010,1.7111111111111112,2.477777777777778,-0.9646117704928947,-0.6698617570950539,2
ISR,Israel,2010,3.2555555555555555,3.422222222222222,-0.2998337998528275,-0.5341710696329456,2
ITA,Italy,2010,2.8625,2.6625,-0.46901740209306053,-0.6433222549884945,2
JPN,Japan,2010,2.077777777777778,4.033333333333333,-0.806786784657483,-0.44637121303981664,2
KOR,Korea,2010,2.911111111111111,11.277777777777779,-0.4480936350315476,0.5944561778460031,2
LTU,Lithuania,2010,4.044444444444444,7.788888888888889,0.03972904845972475,0.09319881475068494,2
LUX,Luxembourg,2010,3.3375,10.3,-0.26456230680627724,0.4539764072969968,2
LVA,Latvia,2010,4.644444444444444,21.066666666666666,0.29798811619039817,2.0008502443650324,3
MEX,Mexico,2010,14.188888888888888,38.56666666666667,4.406220323239446,4.515118864986453,1
NLD,Netherlands,2010,3.6,2.7,-0.15157396467410744,-0.6379345365157343,2
NOR,Norway,2010,2.3666666666666667,2.022222222222222,-0.682439826120492,-0.7353125592826593,2
NZL,New Zealand,2010,4.942857142857143,9.085714285714285,0.4264344250088288,0.27951695198857157,2
POL,Poland,2010,4.322222222222222,1.8888888888888888,0.1592934316683699,-0.754468891630251,2
PRT,Portugal,2010,2.988888888888889,8.433333333333334,-0.4146156077331269,0.18578775443071188,2
SVK,Slovak Republic,2010,5.28,3.63,0.5715514249717787,-0.5043191183912817,2
SVN,Slovenia,2010,2.175,4.225,-0.7649392505344573,-0.41883398529015353,2
SWE,Sweden,2010,2.388888888888889,4.444444444444445,-0.6728746754638005,-0.3873058549680753,2
TUR,Turkey,2010,9.67142857142857,14.757142857142856,2.4617618397434224,1.0943452314879214,3
