cou,country,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,change
PAN,Panama,2.152,2.17,2.267,2.394,2.433,2.508,2.566,2.7359999999999998,2.81,2.8520000000000003,2.842,2.9219999999999997,2.996,3.102,3.172,3.299,3.441,3.553,3.697,3.8,3.887,4.0809999999999995,4.17,4.162,4.125,4.029,3.839,3.872,-1.7199999999999998
PHL,Philippines,9.425,9.095,8.77,8.354,7.971,7.829,7.593999999999999,7.5120000000000005,7.416,7.3149999999999995,7.241,7.311,7.286,7.237,7.215999999999999,7.258,7.363,7.4559999999999995,7.648,7.811999999999999,7.907,7.777,7.921,7.643,7.461,7.407,7.013,6.94,2.4850000000000003
ROU,Romania,12.084,11.784,12.366,12.602,12.872,13.326999999999998,13.943999999999999,14.136,13.555,13.064,12.847,13.322,13.604,13.614,13.273,13.228000000000002,13.113,13.018,13.395,13.661,13.667,13.33,12.86,12.335,12.393,12.663,12.332,12.504000000000001,-0.4200000000000017
RUS,Russia,17.721,18.172,19.719,23.705,25.847,23.854,22.630000000000003,21.442,21.116,22.845,23.621,24.801000000000002,25.918999999999997,26.419,25.659,25.908,24.003999999999998,22.817,22.767,21.372,20.923000000000002,19.275,18.193,17.421,16.836,16.591,15.850999999999999,15.681000000000001,2.039999999999999
RWA,Rwanda,10.796,11.798,13.061,14.635,13.575,13.260000000000002,13.975999999999999,15.09,14.606,13.007000000000001,11.068999999999999,9.747,8.708,8.009,7.76,7.227,6.764,6.406,5.952,5.265,4.897,4.813,4.797000000000001,4.644,4.487,4.4830000000000005,4.399,4.3790000000000004,6.416999999999999
STP,Sao Tome and Principe,6.193,6.1690000000000005,6.202,6.050000000000001,6.202999999999999,6.154,6.099,6.082,6.056,5.88,5.941,5.693,5.495,5.391,5.182,4.914,4.881,4.804,4.859,4.737,4.646,4.806,4.702999999999999,4.981,4.961,5.04,5.057,5.067,1.1259999999999994
SAU,Saudi Arabia,7.429,7.6690000000000005,7.66,7.588,7.484999999999999,7.386,7.471,7.5329999999999995,7.6,7.635,7.645,7.664,7.8580000000000005,7.981999999999999,8.082,8.306,8.554,8.73,8.927,9.062,9.146,9.224,9.244,9.218,9.031,9.565,9.356,9.568999999999999,-2.139999999999999
SEN,Senegal,7.396000000000001,7.346,7.274,7.342,7.336,7.4670000000000005,7.548,7.553000000000001,7.605,7.535,7.422000000000001,7.303,7.066000000000001,6.599,6.447,6.061999999999999,5.771,5.458,5.188,4.817,4.628,4.5280000000000005,4.376,3.998,4.234,4.81,4.212,4.3020000000000005,3.0940000000000003
SYC,Seychelles,8.528,8.904,9.186,9.411,9.577,9.698,9.863,10,10.183,10.237,10.252,10.265,10.309000000000001,10.25,10.205,10.169,10.129999999999999,10.153,10.258,10.366,10.433,10.75,10.954,11.004000000000001,11.265,11.241,11.638,11.803,-3.2750000000000004
SLE,Sierra Leone,6.334,6.188000000000001,5.787,5.598,5.471,5.41,5.384,5.510999999999999,5.369,5.302,5.336,5.2010000000000005,5.112,4.965,4.77,4.582,4.4350000000000005,4.218,4.046,4.019,4.029999999999999,4.006,4.236,3.928,3.7889999999999997,4.593,4.207,4.209,2.125
